Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE
100,sigmoid,11,Adam,Xavier,0.0001,0.061663948,0.132412442
300,sigmoid,5,Momentum,small_random,0,0.061869752,0.308658603
200,sigmoid,8,Adam,small_random,0.0001,0.062007304,0.169527618
100,sigmoid,11,Momentum,Xavier,0.0001,0.062027752,0.128949323
100,sigmoid,8,Momentum,small_random,0.001,0.062042966,0.090041022
200,sigmoid,11,Adam,small_random,0,0.06220109,0.100372909
200,relu,5,Adam,Xavier,0.001,0.062305745,0.312812236
300,relu,5,SGD,Xavier,0,0.062328581,0.24323682
100,relu,11,SGD,Xavier,0.0001,0.062337901,0.159778
300,relu,11,SGD,Xavier,0,0.062345356,0.165468075
100,sigmoid,8,Momentum,Xavier,0.0001,0.062360723,0.246605957
200,tanh,11,SGD,Xavier,0.001,0.062772222,0.090451489
100,sigmoid,8,Momentum,Xavier,0.001,0.062776782,0.089830985
300,relu,5,SGD,Xavier,0.001,0.062924869,0.131685752
200,tanh,11,SGD,Xavier,0,0.062931724,0.131469265
300,tanh,11,SGD,Xavier,0.0001,0.063061148,0.133788771
200,sigmoid,11,Momentum,small_random,0,0.063073754,0.276045365
300,tanh,8,SGD,Xavier,0.0001,0.063097529,0.184432989
200,tanh,8,SGD,Xavier,0,0.063258946,0.171898489
300,sigmoid,8,Momentum,small_random,0,0.063356057,0.136648699
300,tanh,5,SGD,Xavier,0,0.063416913,0.177662311
200,tanh,8,Momentum,small_random,0,0.063597068,0.333798328
200,relu,11,SGD,Xavier,0.001,0.063628852,0.135768287
300,tanh,5,Adam,small_random,0.0001,0.063651182,0.337849125
300,sigmoid,5,Momentum,small_random,0.0001,0.063694537,0.171706004
300,tanh,5,SGD,Xavier,0.001,0.06384933,0.111433003
300,sigmoid,8,SGD,Xavier,0,0.063979313,0.119551437
200,relu,8,Momentum,small_random,0.0001,0.064047724,0.192026885
100,tanh,5,SGD,Xavier,0,0.064127028,0.145986523
300,tanh,11,SGD,Xavier,0,0.064140469,0.339626417
200,tanh,11,Adam,small_random,0,0.064152911,0.217530976
200,sigmoid,11,Adam,small_random,0.0001,0.064321496,0.11963766
300,sigmoid,8,SGD,Xavier,0.0001,0.064428948,0.100323169
200,tanh,5,SGD,Xavier,0.001,0.064745389,0.081424422
200,relu,5,Momentum,small_random,0.0001,0.064771995,0.22209038
200,relu,5,Momentum,small_random,0,0.064819209,0.19763576
300,relu,8,Adam,small_random,0.001,0.064855911,0.181986913
100,tanh,8,Momentum,small_random,0.001,0.064871915,0.197296515
100,sigmoid,11,Momentum,small_random,0.001,0.064999431,0.186040346
200,tanh,8,Adam,small_random,0.001,0.065048128,0.110833835
100,tanh,8,Adam,small_random,0,0.065723337,0.51447508
200,relu,11,Momentum,small_random,0.0001,0.065724298,0.313824676
300,sigmoid,11,SGD,Xavier,0.0001,0.065925673,0.120276435
200,sigmoid,5,Adam,small_random,0.0001,0.065960594,0.153067051
100,tanh,5,SGD,Xavier,0.0001,0.066048943,0.186332662
200,tanh,11,Momentum,small_random,0.0001,0.066124067,0.146797184
300,relu,8,SGD,small_random,0.001,0.066233344,0.212128559
300,sigmoid,11,Momentum,small_random,0.0001,0.066340446,0.201998103
200,tanh,11,SGD,Xavier,0.0001,0.066382937,0.103846394
200,relu,11,SGD,small_random,0,0.066537634,0.214969157
200,tanh,8,SGD,small_random,0.001,0.066568047,0.312940068
300,tanh,5,Momentum,small_random,0,0.066620149,0.141839112
100,sigmoid,8,Momentum,small_random,0.0001,0.066717714,0.120986158
300,relu,11,SGD,Xavier,0.001,0.066867843,0.335386812
100,relu,8,SGD,Xavier,0.001,0.067252636,0.099096514
100,tanh,5,Adam,Xavier,0.0001,0.067378499,0.178998709
200,relu,8,SGD,Xavier,0,0.067981325,0.146529727
200,sigmoid,5,Momentum,small_random,0.0001,0.068132937,0.141335109
100,sigmoid,5,Momentum,Xavier,0,0.068323426,0.156618932
200,tanh,11,Momentum,small_random,0,0.068384506,0.132876393
200,relu,11,Adam,small_random,0,0.068531029,0.313903699
300,sigmoid,11,SGD,small_random,0,0.068778574,0.248204797
100,sigmoid,8,Adam,small_random,0,0.068889894,0.098653708
300,relu,11,Adam,small_random,0.001,0.068996005,0.141080751
300,relu,8,SGD,Xavier,0.0001,0.069095165,0.185467208
200,relu,11,SGD,Xavier,0.0001,0.069143407,0.243421104
300,sigmoid,5,SGD,Xavier,0,0.069178216,0.072978137
300,relu,8,Adam,small_random,0,0.06924174,0.126081275
100,tanh,8,Momentum,small_random,0,0.069430694,0.137667199
300,tanh,5,Momentum,small_random,0.0001,0.069589779,0.275676966
100,tanh,8,SGD,Xavier,0.0001,0.069613643,0.104051694
300,tanh,8,SGD,Xavier,0,0.069810569,0.159126961
300,relu,5,SGD,small_random,0.0001,0.06982547,0.15379461
200,sigmoid,5,Momentum,small_random,0,0.070302092,0.162474445
100,sigmoid,11,Momentum,small_random,0.0001,0.070353493,0.153964137
200,tanh,5,SGD,Xavier,0,0.070495188,0.133079292
300,tanh,8,Momentum,small_random,0,0.070649505,0.252894613
200,relu,5,SGD,Xavier,0,0.070770875,0.115567739
300,relu,11,Adam,small_random,0,0.071138673,0.19851605
300,relu,5,SGD,Xavier,0.0001,0.071180977,0.138613096
100,tanh,11,Adam,Xavier,0.0001,0.071218207,0.217219047
100,sigmoid,11,Adam,small_random,0.001,0.071272448,0.090878597
200,tanh,5,Adam,small_random,0,0.071291283,0.188946244
100,relu,11,Momentum,small_random,0,0.071313001,0.097193726
